observation_id,N_params_B,D_tokens_B,Q_score,source_file,family
supplementary_NQ_experiment_large_63,0.07,500.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_64,0.07,500.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_65,0.07,1000.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_66,0.07,1000.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_67,0.07,1000.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_68,0.07,1000.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_69,0.07,1000.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_70,0.07,1000.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_71,0.07,1000.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_72,0.07,1000.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_73,0.07,1000.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_74,0.07,1000.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_75,0.07,1000.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_76,0.07,1000.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_77,0.07,2000.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_78,0.07,2000.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_79,0.07,2000.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_80,0.07,2000.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_81,0.07,2000.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_82,0.07,2000.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_83,0.07,2000.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_84,0.07,2000.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_85,0.07,2000.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_86,0.07,2000.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_87,0.07,2000.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_88,0.07,2000.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_89,0.16,5.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_90,0.16,5.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_91,0.16,5.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_92,0.16,5.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_93,0.16,5.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_94,0.16,5.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_95,0.16,5.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_96,0.16,5.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_97,0.16,5.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_98,0.16,5.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_99,0.16,5.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_100,0.16,5.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_101,0.16,10.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_102,0.16,10.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_103,0.16,10.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_104,0.16,10.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_105,0.16,20.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_106,0.16,20.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_107,0.16,20.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_108,0.16,20.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_109,0.16,20.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_110,0.16,20.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_111,0.16,20.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_112,0.16,20.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_113,0.16,20.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_114,0.16,20.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_115,0.16,20.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_116,0.16,20.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_117,0.16,50.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_118,0.16,50.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_119,0.16,50.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_120,0.16,50.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_121,0.16,100.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_122,0.16,100.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_123,0.16,100.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_124,0.16,100.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_125,0.16,100.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_126,0.16,100.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_127,0.16,100.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_128,0.16,100.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_129,0.16,100.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_130,0.16,100.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_131,0.16,100.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_132,0.16,100.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_133,0.16,150.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_134,0.16,150.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_135,0.16,150.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_136,0.16,150.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_137,0.16,300.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_138,0.16,300.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_139,0.16,300.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_140,0.16,300.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_141,0.16,500.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_142,0.16,500.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_143,0.16,500.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_144,0.16,500.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_145,0.16,500.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_146,0.16,500.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_147,0.16,500.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_148,0.16,500.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_149,0.16,500.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_150,0.16,500.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_151,0.16,500.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_152,0.16,500.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_153,0.16,1000.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_154,0.16,1000.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_155,0.16,1000.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_156,0.16,1000.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_157,0.16,1000.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_158,0.16,1000.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_159,0.16,1000.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_160,0.16,1000.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_161,0.16,1000.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_162,0.16,1000.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_163,0.16,1000.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_164,0.16,1000.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_165,0.16,2000.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_166,0.16,2000.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_167,0.16,2000.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_168,0.16,2000.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_169,0.16,2000.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_170,0.16,2000.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_171,0.16,2000.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_172,0.16,2000.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_173,0.16,2000.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_174,0.16,2000.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_175,0.16,2000.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_176,0.16,2000.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_177,0.41,5.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_178,0.41,5.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_179,0.41,5.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_180,0.41,5.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_181,0.41,5.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_182,0.41,5.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_183,0.41,5.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_184,0.41,5.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_185,0.41,5.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_186,0.41,5.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_187,0.41,5.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_188,0.41,5.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_189,0.41,10.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_190,0.41,10.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_191,0.41,10.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_192,0.41,10.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_193,0.41,20.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_194,0.41,20.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_195,0.41,20.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_196,0.41,20.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_197,0.41,20.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_198,0.41,20.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_199,0.41,20.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_200,0.41,20.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_201,0.41,20.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_202,0.41,20.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_203,0.41,20.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_204,0.41,20.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_205,0.41,50.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_206,0.41,50.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_207,0.41,50.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_208,0.41,50.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_209,0.41,100.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_210,0.41,100.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_211,0.41,100.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_212,0.41,100.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_213,0.41,100.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_214,0.41,100.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_215,0.41,100.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_216,0.41,100.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_217,0.41,100.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_218,0.41,100.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_219,0.41,100.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_220,0.41,100.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_221,0.41,150.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_222,0.41,150.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_223,0.41,150.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_224,0.41,150.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_225,0.41,300.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_226,0.41,300.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_227,0.41,300.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_228,0.41,300.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_229,0.41,500.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_230,0.41,500.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_231,0.41,500.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_232,0.41,500.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_233,0.41,500.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_234,0.41,500.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_235,0.41,500.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_236,0.41,500.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_237,0.41,500.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_238,0.41,500.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_239,0.41,500.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_240,0.41,500.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_241,0.41,1000.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_242,0.41,1000.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_243,0.41,1000.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_244,0.41,1000.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_245,0.41,1000.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_246,0.41,1000.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_247,0.41,1000.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_248,0.41,1000.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_249,0.41,1000.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_250,0.41,1000.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_251,0.41,1000.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_252,0.41,1000.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_253,0.41,2000.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_254,0.41,2000.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_255,0.41,2000.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_256,0.41,2000.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_257,0.41,2000.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_258,0.41,2000.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_259,0.41,2000.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_260,0.41,2000.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_261,0.41,2000.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_262,0.41,2000.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_263,0.41,2000.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_264,0.41,2000.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_265,0.7,5.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_266,0.7,5.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_267,0.7,5.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_268,0.7,5.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_269,0.7,5.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_270,0.7,5.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_271,0.7,5.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_272,0.7,5.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_273,0.7,5.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_274,0.7,5.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_275,0.7,5.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_276,0.7,5.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_277,0.7,10.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_278,0.7,10.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_279,0.7,10.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_280,0.7,10.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_281,0.7,10.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_282,0.7,10.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_283,0.7,10.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_284,0.7,10.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_285,0.7,10.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_286,0.7,10.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_287,0.7,10.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_288,0.7,10.0,1.0,supplementary_NQ_experiment_large.csv,
