observation_id,source_group,source_file,provenance,split_role,group_id,lineage_group,observed_fields,target_fields,is_duplicate,is_derived,is_extrapolated,is_condition_overlap,N_params_B,D_tokens_B,Q_score,val_loss,data_type,family,experiment_id,step,condition_key
B1_56,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,109.052,,2.8951,,Pythia,,52000,0.070542|109.052|
B1_57,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,111.149,,2.8933,,Pythia,,53000,0.070542|111.149|
B1_58,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,113.246,,2.892,,Pythia,,54000,0.070542|113.246|
B1_59,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,115.343,,2.8904,,Pythia,,55000,0.070542|115.343|
B1_60,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,117.441,,2.8885,,Pythia,,56000,0.070542|117.441|
B1_61,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,119.538,,2.8871,,Pythia,,57000,0.070542|119.538|
B1_62,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,121.635,,2.8854,,Pythia,,58000,0.070542|121.635|
B1_63,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,123.732,,2.8836,,Pythia,,59000,0.070542|123.732|
B1_64,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,125.829,,2.8823,,Pythia,,60000,0.070542|125.829|
B1_65,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,127.926,,2.8811,,Pythia,,61000,0.070542|127.926|
B1_66,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,130.023,,2.8793,,Pythia,,62000,0.070542|130.023|
B1_67,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,132.121,,2.8782,,Pythia,,63000,0.070542|132.121|
B1_68,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,134.218,,2.876,,Pythia,,64000,0.070542|134.218|
B1_69,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,136.315,,2.8753,,Pythia,,65000,0.070542|136.315|
B1_70,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,138.412,,2.8738,,Pythia,,66000,0.070542|138.412|
B1_71,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,140.509,,2.8724,,Pythia,,67000,0.070542|140.509|
B1_72,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,142.606,,2.8712,,Pythia,,68000,0.070542|142.606|
B1_73,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,144.703,,2.8696,,Pythia,,69000,0.070542|144.703|
B1_74,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,146.801,,2.8687,,Pythia,,70000,0.070542|146.801|
B1_75,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,148.898,,2.8676,,Pythia,,71000,0.070542|148.898|
B1_76,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,150.995,,2.8666,,Pythia,,72000,0.070542|150.995|
B1_77,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,153.092,,2.865,,Pythia,,73000,0.070542|153.092|
B1_78,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,155.189,,2.8638,,Pythia,,74000,0.070542|155.189|
B1_79,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,157.286,,2.8628,,Pythia,,75000,0.070542|157.286|
B1_80,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,159.384,,2.8619,,Pythia,,76000,0.070542|159.384|
B1_81,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,161.481,,2.8607,,Pythia,,77000,0.070542|161.481|
B1_82,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,163.578,,2.8595,,Pythia,,78000,0.070542|163.578|
B1_83,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,165.675,,2.8586,,Pythia,,79000,0.070542|165.675|
B1_84,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,167.772,,2.8575,,Pythia,,80000,0.070542|167.772|
B1_85,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,169.869,,2.8566,,Pythia,,81000,0.070542|169.869|
B1_86,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,171.966,,2.8553,,Pythia,,82000,0.070542|171.966|
B1_87,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,174.064,,2.8544,,Pythia,,83000,0.070542|174.064|
B1_88,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,176.161,,2.8534,,Pythia,,84000,0.070542|176.161|
B1_89,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,178.258,,2.8522,,Pythia,,85000,0.070542|178.258|
B1_90,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,180.355,,2.8516,,Pythia,,86000,0.070542|180.355|
B1_91,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,182.452,,2.8506,,Pythia,,87000,0.070542|182.452|
B1_92,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,184.549,,2.8497,,Pythia,,88000,0.070542|184.549|
B1_93,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,186.647,,2.8487,,Pythia,,89000,0.070542|186.647|
B1_94,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,188.744,,2.8476,,Pythia,,90000,0.070542|188.744|
B1_95,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,190.841,,2.8469,,Pythia,,91000,0.070542|190.841|
B1_96,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,192.938,,2.8461,,Pythia,,92000,0.070542|192.938|
B1_97,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,195.035,,2.8451,,Pythia,,93000,0.070542|195.035|
B1_98,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,197.132,,2.8444,,Pythia,,94000,0.070542|197.132|
B1_99,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,199.229,,2.8436,,Pythia,,95000,0.070542|199.229|
B1_100,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,201.327,,2.8431,,Pythia,,96000,0.070542|201.327|
B1_101,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,203.424,,2.842,,Pythia,,97000,0.070542|203.424|
B1_102,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,205.521,,2.8412,,Pythia,,98000,0.070542|205.521|
B1_103,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,207.618,,2.8403,,Pythia,,99000,0.070542|207.618|
B1_104,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,209.715,,2.8392,,Pythia,,100000,0.070542|209.715|
B1_105,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,211.812,,2.8388,,Pythia,,101000,0.070542|211.812|
B1_106,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,213.91,,2.838,,Pythia,,102000,0.070542|213.91|
